"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013-01","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","131.3","","","","1"
"2013-02","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","133.1","","","","1"
"2013-03","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","132.3","","","","1"
"2013-04","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","132.3","","","","1"
"2013-05","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","132.9","","","","1"
"2013-06","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","132.7","","","","1"
"2013-07","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","132.8","","","","1"
"2013-08","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","133.0","","","","1"
"2013-09","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","131.4","","","","1"
"2013-10","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","131.1","","","","1"
"2013-11","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","132.7","","","","1"
"2013-12","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","132.0","","","","1"
"2014-01","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","132.6","","","","1"
"2014-02","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","134.4","","","","1"
"2014-03","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","134.6","","","","1"
"2014-04","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","134.6","","","","1"
"2014-05","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","136.2","","","","1"
"2014-06","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","137.0","","","","1"
"2014-07","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","137.0","","","","1"
"2014-08","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","136.0","","","","1"
"2014-09","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","135.3","","","","1"
"2014-10","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","135.1","","","","1"
"2014-11","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","137.1","","","","1"
"2014-12","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","137.6","","","","1"
"2015-01","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","139.7","","","","1"
"2015-02","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","140.2","","","","1"
"2015-03","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","140.2","","","","1"
"2015-04","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","140.0","","","","1"
"2015-05","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","141.8","","","","1"
"2015-06","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","141.9","","","","1"
"2015-07","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","141.8","","","","1"
"2015-08","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","141.4","","","","1"
"2015-09","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","140.6","","","","1"
